area_cutoff,small_count,big_count,small_mean_dice,big_mean_dice,small_median_dice,big_median_dice,small_failure_rate,big_failure_rate,failure_rate_gap,mean_dice_gap
5984.0,72824,192103,0.6615514704462985,0.73381941147673,0.6882822504175872,0.74749977985483,0.11626661540151598,0.026360858497785043,0.08990575690373093,0.07226794103043155
35135.0,219358,45569,0.7032508993078602,0.7654770549347581,0.722321845828367,0.7760095098489656,0.06061324410324675,0.005157014637143673,0.055456229466103076,0.06222615562689793
2581.0,34083,230844,0.6297979862314553,0.7263794160643935,0.6584564860426929,0.7414549404992762,0.16691605785875657,0.033970993398139006,0.13294506446061757,0.09658142983293816
405.0,5333,259594,0.543694856820067,0.7174519057269201,0.5853516194922673,0.7343678486841342,0.3453965872867054,0.045028005269767406,0.300368582016938,0.17375704890685306
554.0,7530,257397,0.5649065733445524,0.7183144643854086,0.6015261500982951,0.7348411815597578,0.3090305444887118,0.043528090847989684,0.2655024536407221,0.15340789104085617
754.0,10938,253989,0.5850083177348452,0.7195071979783053,0.6204986697674986,0.7357596811366771,0.2654964344487109,0.04184039466276099,0.22365603978594992,0.13449888024346013
1905.0,26497,238430,0.6186159823195114,0.7245492052307823,0.6472933277381452,0.7399979712696245,0.1852662565573461,0.0361615568510674,0.1491046997062787,0.10593322291127083
5402.0,66235,198692,0.6579645011583966,0.7326186054419358,0.6852921719955899,0.7465011542058136,0.12194459122820261,0.02744951985988364,0.09449507136831897,0.07465410428353925
7419.580000000002,87426,177501,0.6678532310605865,0.736660627872478,0.69319679838048,0.7498447950709257,0.10676457804314506,0.023644937211621343,0.0831196408315237,0.06880739681189152
14188.0,132471,132456,0.6824710150131647,0.7454408773999411,0.7051389141093154,0.75728988275382,0.08738516354522877,0.014759618288337259,0.07262554525689151,0.06296986238677649
23732.160000000003,174852,90075,0.6940052842496133,0.7526785759098772,0.714737340511518,0.7629434292796109,0.07313613799098666,0.008248681654177074,0.06488745633680959,0.058673291660263915
