metric,p10,p25,p33,p50,p66,p75,p90
area,1905.0,5402.0,7419.580000000002,14188.0,23732.160000000003,29441.0,42428.0
relative_area,0.009491589604591837,0.026915258290816327,0.036967773437500004,0.07069116709183673,0.11824457908163266,0.14668865593112246,0.21139588647959184
elongation,1.2816007371295164,1.5170549699992504,1.6446770363341248,1.9432923860376579,2.2921127023305083,2.53229697218015,3.1636127143009793
compactness,27.490913746419476,33.545824529592764,36.025534597265626,40.870635732862475,45.992173922697255,49.78398520086682,60.68337982870006
connected_components,1.0,1.0,1.0,1.0,1.0,1.0,1.0
