suggested_shape_group,count,mean_dice,median_dice
fragmented_complex,11463,0.5734165855045155,0.6030930872782684
fragmented_simple,9198,0.6470698316608291,0.6997213497776035
large_compact,52954,0.7748099092864627,0.7840115280594142
large_complex,15017,0.7047937729592149,0.7128865417973845
large_elongated,19128,0.7302339120041426,0.7375562665028619
medium_compact,43232,0.7508253465662695,0.7625170817483369
medium_complex,16565,0.665146576649507,0.6772685541825396
medium_elongated,19550,0.724906903025957,0.7430655542236348
small_compact,50806,0.6973637189420359,0.7135962737259911
small_complex,4362,0.639014628782937,0.6526768485326936
small_elongated,22652,0.6698048060794686,0.6890211307383912
